Value,Period
9.736,1
9.192,2
8.858,3
8.902,4
9.59,5
10.54,6
9.467,7
8.997,8
6.253,9
6.624,10
8.543,11
9.215,12
9.062,13
8.66,14
9.236,15
8.817,16
9.051,17
9.042,18
8.783,19
7.543,20
6.469,21
7.066,22
6.726,23
9.583,24
