Value,Period
134.682,1
108.837,2
125.893,3
222.226,4
297.905,5
445.543,6
491.888,7
561.127,8
615.283,9
550.41,10
396.204,11
242.266,12
188.066,13
117.743,14
122.333,15
248.198,16
342.431,17
416.101,18
523.723,19
665.7,20
569.962,21
465.167,22
384.759,23
238.567,24
