Value,Period
37.555,1
28.006,2
24.201,3
33.391,4
45.635,5
52.514,6
65.626,7
79.74,8
83.234,9
85.169,10
72.207,11
48.701,12
49.241,13
36.994,14
33.603,15
21.177,16
51.867,17
55.407,18
66.126,19
84.449,20
89.321,21
85.234,22
78.946,23
60.497,24
