Value,Period
26.467,1
23.51,2
26.197,3
23.588,4
28.448,5
32.238,6
29.18,7
32.523,8
28.393,9
25.891,10
27.621,11
28.583,12
27.978,13
24.611,14
26.016,15
26.266,16
30.527,17
29.552,18
30.777,19
28.723,20
26.963,21
29.431,22
25.164,23
29.079,24
