Value,Period
34.925,1
32.548,2
30.097,3
29.305,4
32.18,5
40.603,6
53.838,7
66.475,8
72.938,9
73.663,10
61.233,11
46.846,12
37.495,13
32.215,14
30.534,15
20.979,16
34.12,17
41.571,18
53.58,19
68.228,20
74.459,21
72.461,22
63.622,23
52.435,24
