Value,Period
28.119,1
18.068,2
14.614,3
21.384,4
32.912,5
38.927,6
52.28,7
67.345,8
70.55,9
69.791,10
58.266,11
38.228,12
33.967,13
24.397,14
24.746,15
8.805,16
36.875,17
40.763,18
52.379,19
69.385,20
75.053,21
71.107,22
62.76,23
50.218,24
