Value,Period
36.414,1
33.879,2
31.02,3
29.203,4
31.718,5
37.604,6
51.97,7
66.08,8
72.685,9
72.838,10
61.92,11
48.017,12
37.551,13
31.794,14
30.118,15
20.672,16
36.406,17
43.897,18
54.575,19
68.448,20
75.581,21
73.162,22
63.498,23
52.638,24
