Value,Period
0.041,1
0.018,2
0.022,3
0.048,4
0.092,5
0.177,6
0.199,7
0.268,8
0.261,9
0.241,10
0.187,11
0.098,12
0.07,13
0.04,14
0.032,15
0.041,16
0.127,17
0.171,18
0.205,19
0.313,20
0.29,21
0.247,22
0.194,23
0.109,24
