Value,Period
22.882,1
11.081,2
6.613,3
14.846,4
27.193,5
35.089,6
51.505,7
67.891,8
70.935,9
70.4,10
57.405,11
34.506,12
29.35,13
20.159,14
19.363,15
1.724,16
32.7,17
37.402,18
52.241,19
70.93,20
74.908,21
70.999,22
63.075,23
47.032,24
