Value,Period
20.292,1
9.979,2
6.081,3
13.716,4
26.071,5
33.113,6
51.023,7
66.609,8
69.848,9
70.362,10
56.932,11
33.014,12
28.387,13
18.76,14
17.19,15
-1.505,16
31.616,17
36.51,18
51.718,19
69.664,20
74.745,21
70.752,22
63.139,23
44.672,24
