Value,Period
145.666,1
117.679,2
141.968,3
264.428,4
321.765,5
477.421,6
496.473,7
604.043,8
624.064,9
540.496,10
366.442,11
235.658,12
178.876,13
123.463,14
116.073,15
247.618,16
342.285,17
409.999,18
515.581,19
648.115,20
545.142,21
474.043,22
394.223,23
238.852,24
