Value,Period
26.009,1
22.785,2
24.74,3
24.232,4
26.526,5
30.698,6
26.701,7
28.243,8
24.121,9
24.341,10
26.358,11
26.731,12
25.926,13
24.184,14
24.773,15
24.522,16
26.434,17
25.862,18
26.332,19
26.377,20
22.126,21
23.998,22
22.266,23
25.175,24
