Value,Period
1.237,1
0.568,2
0.681,3
1.385,4
2.867,5
5.322,6
6.17,7
8.051,8
8.089,9
7.475,10
5.605,11
3.045,12
2.098,13
1.232,14
1.007,15
1.15,16
3.931,17
5.135,18
6.352,19
9.381,20
8.984,21
7.671,22
5.808,23
3.382,24
