Value,Period
34.867,1
32.749,2
27.989,3
27.472,4
34.918,5
44.177,6
58.675,7
71.565,8
75.419,9
76.056,10
62.541,11
46.35,12
35.216,13
30.155,14
29.322,15
19.69,16
37.514,17
46.13,18
58.263,19
74.637,20
79.9,21
74.919,22
64.183,23
51.83,24
