Value,Period
1.423,1
0.566,2
0.67,3
1.375,4
3.033,5
6.151,6
7.063,7
9.95,8
9.043,9
8.717,10
6.744,11
3.588,12
2.83,13
1.54,14
1.022,15
1.279,16
4.937,17
6.487,18
8.034,19
11.583,20
10.408,21
9.585,22
7.285,23
3.849,24
