Value,Period
27.971,1
17.338,2
13.943,3
18.785,4
32.502,5
39.444,6
52.758,7
68.62,8
71.176,9
70.779,10
58.467,11
37.518,12
34.428,13
24.111,14
23.985,15
7.753,16
37.376,17
41.164,18
53.531,19
71.289,20
75.097,21
71.403,22
63.016,23
49.174,24
