Value,Period
20.452,1
18.406,2
19.514,3
18.389,4
21.474,5
24.558,6
21.276,7
22.671,8
21.91,9
19.703,10
21.276,11
21.609,12
20.027,13
19.121,14
19.898,15
19.462,16
21.442,17
22.393,18
20.95,19
21.312,20
20.45,21
22.098,22
18.904,23
21.461,24
