Value,Period
18.597,1
5.764,2
1.215,3
7.797,4
23.027,5
32.687,6
50.509,7
68.855,8
70.942,9
70.385,10
56.75,11
31.043,12
25.408,13
14.069,14
13.332,15
-4.932,16
29.366,17
34.813,18
51.332,19
71.698,20
74.591,21
70.907,22
62.384,23
43.434,24
