Value,Period
22.027,1
13.865,2
9.773,3
13.527,4
24.453,5
24.386,6
40.482,7
53.722,8
59.529,9
57.156,10
42.278,11
27.111,12
22.564,13
16.65,14
18.464,15
-0.552,16
23.929,17
24.244,18
37.975,19
50.052,20
58.702,21
54.59,22
47.102,23
38.428,24
