Value,Period
10.787,1
10.223,2
10.969,3
9.606,4
11.874,5
12.155,6
12.244,7
12.405,8
8.547,9
8.454,10
10.013,11
11.206,12
10.957,13
9.888,14
10.686,15
9.418,16
12.654,17
12.346,18
11.696,19
10.65,20
9.833,21
10.191,22
9.621,23
12.855,24
