Value,Period
34.001,1
32.52,2
31.31,3
30.314,4
36.024,5
47.739,6
61.992,7
77.759,8
82.546,9
81.97,10
65.021,11
45.364,12
35.705,13
30.547,14
30.562,15
22.368,16
38.886,17
47.836,18
61.081,19
80.305,20
84.304,21
79.431,22
68.82,23
51.753,24
