Value,Period
18.578,1
9.448,2
6.38,3
10.465,4
21.355,5
24.829,6
40.242,7
54.268,8
57.529,9
55.782,10
44.772,11
27.69,12
19.404,13
12.699,14
16.57,15
-3.17,16
22.197,17
26.497,18
38.973,19
52.822,20
60.707,21
56.243,22
48.356,23
39.229,24
