Value,Period
17.956,1
9.394,2
7.96,3
12.226,4
21.835,5
23.575,6
37.886,7
51.881,8
55.029,9
54.167,10
43.498,11
26.236,12
21.125,13
14.382,14
17.226,15
-2.657,16
21.32,17
25.928,18
38.918,19
52.577,20
59.991,21
55.028,22
47.676,23
37.764,24
