Value,Period
34.601,1
33.255,2
30.487,3
28.736,4
32.992,5
40.449,6
53.476,7
66.305,8
72.493,9
73.543,10
61.004,11
45.419,12
36.082,13
30.401,14
29.433,15
20.087,16
37.951,17
44.055,18
54.9,19
68.565,20
75.569,21
71.848,22
62.57,23
50.122,24
