Value,Period
1.568,1
0.89,2
0.807,3
1.79,4
3.337,5
5.912,6
6.995,7
8.617,8
8.37,9
8.811,10
6.878,11
3.613,12
3.002,13
1.971,14
1.386,15
1.492,16
4.628,17
5.888,18
7.493,19
10.025,20
9.559,21
8.329,22
6.915,23
3.973,24
