Value,Period
0.047,1
0.018,2
0.022,3
0.047,4
0.098,5
0.205,6
0.228,7
0.332,8
0.292,9
0.281,10
0.225,11
0.116,12
0.094,13
0.05,14
0.033,15
0.046,16
0.159,17
0.216,18
0.259,19
0.386,20
0.336,21
0.309,22
0.243,23
0.124,24
