Value,Period
6.093,1
6.004,2
6.116,3
5.406,4
6.435,5
7.187,6
6.902,7
6.097,8
5.21,9
4.993,10
5.777,11
6.275,12
5.343,13
5.07,14
5.519,15
5.264,16
6.088,17
6.9,18
6.073,19
5.392,20
5.538,21
5.405,22
5.498,23
6.919,24
