Value,Period
27.756,1
18.7,2
16.081,3
22.809,4
33.735,5
38.045,6
51.756,7
65.81,8
69.132,9
69.668,10
57.853,11
37.469,12
35.183,13
25.688,14
25.415,15
9.26,16
36.593,17
40.667,18
52.522,19
68.513,20
74.656,21
70.131,22
63.311,23
49.131,24
